Station_ID,Month_UTC,Year_UTC,appendicularia Abundance (No. per m2),appendicularia Estimated C Biomass (mgC m-2),bryozoan_larvae Abundance (No. per m2),bryozoan_larvae Estimated C Biomass (mgC m-2),chaetognatha Abundance (No. per m2),chaetognatha Estimated C Biomass (mgC m-2),cnidaria_ctenophores Abundance (No. per m2),cnidaria_ctenophores Estimated C Biomass (mgC m-2),copepoda_calanoida_minus_eucalanids Abundance (No. per m2),copepoda_calanoida_minus_eucalanids Estimated C Biomass (mgC m-2),copepoda_eucalanids Abundance (No. per m2),copepoda_eucalanids Estimated C Biomass (mgC m-2),copepoda_harpacticoida Abundance (No. per m2),copepoda_harpacticoida Estimated C Biomass (mgC m-2),copepoda_oithona_like Abundance (No. per m2),copepoda_oithona_like Estimated C Biomass (mgC m-2),copepoda_others Abundance (No. per m2),copepoda_others Estimated C Biomass (mgC m-2),copepoda_poecilostomatoids Abundance (No. per m2),copepoda_poecilostomatoids Estimated C Biomass (mgC m-2),crustacea_others Abundance (No. per m2),crustacea_others Estimated C Biomass (mgC m-2),doliolids Abundance (No. per m2),doliolids Estimated C Biomass (mgC m-2),eggs Abundance (No. per m2),eggs Estimated C Biomass (mgC m-2),euphausiids Abundance (No. per m2),euphausiids Estimated C Biomass (mgC m-2),multiples Abundance (No. per m2),multiples Estimated C Biomass (mgC m-2),nauplii Abundance (No. per m2),nauplii Estimated C Biomass (mgC m-2),ostracods Abundance (No. per m2),ostracods Estimated C Biomass (mgC m-2),others Abundance (No. per m2),others Estimated C Biomass (mgC m-2),polychaete Abundance (No. per m2),polychaete Estimated C Biomass (mgC m-2),pteropoda_heteropoda Abundance (No. per m2),pteropoda_heteropoda Estimated C Biomass (mgC m-2),pyrosomes Abundance (No. per m2),pyrosomes Estimated C Biomass (mgC m-2),rhizaria Abundance (No. per m2),rhizaria Estimated C Biomass (mgC m-2),salps Abundance (No. per m2),salps Estimated C Biomass (mgC m-2),pH_min,pH_max,pH_mean,pH_median,pH_var,pH_range,depth_at_pH_min,depth_at_pH_max,OmegaCA_min,OmegaCA_max,OmegaCA_mean,OmegaCA_median,OmegaCA_var,OmegaCA_range,depth_at_OmegaCA_min,depth_at_OmegaCA_max,CO3_min,CO3_max,CO3_mean,CO3_median,CO3_var,CO3_range,depth_at_CO3_min,depth_at_CO3_max,TA_min,TA_max,TA_mean,TA_median,TA_var,TA_range,depth_at_TA_min,depth_at_TA_max,DIC_min,DIC_max,DIC_mean,DIC_median,DIC_var,DIC_range,depth_at_DIC_min,depth_at_DIC_max,pCO2_min,pCO2_max,pCO2_mean,pCO2_median,pCO2_var,pCO2_range,depth_at_pCO2_min,depth_at_pCO2_max,RF_min,RF_max,RF_mean,RF_median,RF_var,RF_range,depth_at_RF_min,depth_at_RF_max,OmegaAR_min,OmegaAR_max,OmegaAR_mean,OmegaAR_median,OmegaAR_var,OmegaAR_range,depth_at_OmegaAR_min,depth_at_OmegaAR_max
080.0 051.0,4,2019,14859.84,34.45,741.23,0.75,1451.57,2.74,1063.31,27.92,75322.82,382.73,0,0,0,0,22589.79,33.39,0,0,44544.23,106.09,2682.54,18.87,0,0,6706.34,45.72,388.26,0.93,388.26,4.07,24389.91,36.94,0,0,3211.99,2.13,352.97,3.42,2188.39,2.36,0,0,1411.86,0.72,0,0,7.84531836795874,7.84531836795874,7.84531836795874,7.84531836795874,NA,0,2.9,2.9,2.14165396017755,2.14165396017755,2.14165396017755,2.14165396017755,NA,0,2.9,2.9,89.2862116323479,89.2862116323479,89.2862116323479,89.2862116323479,NA,0,2.9,2.9,2244.8,2244.8,2244.8,2244.8,NA,0,2.9,2.9,2137.2,2137.2,2137.2,2137.2,NA,0,2.9,2.9,656.611500549609,656.611500549609,656.611500549609,656.611500549609,NA,0,2.9,2.9,15.5893619891039,15.5893619891039,15.5893619891039,15.5893619891039,NA,0,2.9,2.9,1.36268769493682,1.36268769493682,1.36268769493682,1.36268769493682,NA,0,2.9,2.9
080.0 051.0,5,2021,72467.53,173.21,2493.51,3.37,3740.26,3.32,0,0,724831.17,3698.37,0,0,0,0,7636.36,10.18,0,0,55168.83,112.01,10129.87,63.12,0,0,14964.16,224.67,10285.71,6.33,0,0,177818.18,283.59,0,0,40519.48,20.22,0,0,5142.86,2.47,6.23,61.45,9974.03,6.55,0,0,8.20290467262465,8.20290467262465,8.20290467262465,8.20290467262465,NA,0,3,3,4.36505617508628,4.36505617508628,4.36505617508628,4.36505617508628,NA,0,3,3,172.006836057042,172.006836057042,172.006836057042,172.006836057042,NA,0,3,3,2248,2248,2248,2248,NA,0,3,3,2020.8,2020.8,2020.8,2020.8,NA,0,3,3,284.100030033264,284.100030033264,284.100030033264,284.100030033264,NA,0,3,3,11.5590556926456,11.5590556926456,11.5590556926456,11.5590556926456,NA,0,3,3,2.71909984381272,2.71909984381272,2.71909984381272,2.71909984381272,NA,0,3,3
080.0 051.0,6,2018,3921.48,20.11,653.58,0.41,6012.94,245.64,1642.12,43.52,128767.54,508.52,196.07,85.31,0,0,12091.23,18.9,326.79,0.41,2614.32,11.1,6241.69,3.79,0,0,2320.21,18.79,3039.15,9.76,0,0,9150.12,37.8,0,0,0,0,0,0,32.68,0.02,0,0,326.79,0.09,85.78,56.59,8.08559039525128,8.08559039525128,8.08559039525128,8.08559039525128,NA,0,2,2,4.19683586543916,4.19683586543916,4.19683586543916,4.19683586543916,NA,0,2,2,174.339118500805,174.339118500805,174.339118500805,174.339118500805,NA,0,2,2,2245.9,2245.9,2245.9,2245.9,NA,0,2,2,2001.6,2001.6,2001.6,2001.6,NA,0,2,2,353.602643021854,353.602643021854,353.602643021854,353.602643021854,NA,0,2,2,10.7188178832492,10.7188178832492,10.7188178832492,10.7188178832492,NA,0,2,2,2.70267694716554,2.70267694716554,2.70267694716554,2.70267694716554,NA,0,2,2
080.0 051.0,7,2014,49741.18,452.42,1317.65,1.37,2849.41,65.68,7251.18,163.28,151447.06,808.02,2182.35,387.54,988.24,0.18,28123.53,35.89,1647.06,1.47,19229.41,55.76,118431.76,161.09,741.18,1.01,2964.71,28.65,4694.12,91.71,5435.29,104.05,8605.88,22.06,0,0,2305.88,1.84,700,19.33,6341.18,139.81,0,0,2305.88,1.76,0,0,7.79235991020112,8.07928532729719,7.968729439434496,8.001636260119835,0.015903791062520763,0.28692541709607067,65,2,1.84259506607592,4.43987879767972,3.1417846464088623,3.142332360939905,1.1759854463419182,2.5972837316037998,65,2,77.6642100718354,183.828062887918,131.0450574335821,131.3439783872875,1966.2433645721032,106.16385281608261,65,2,2231,2241.3,2235.725,2235.3,20.32916666666702,10.300000000000182,40,2,1983.5,2150.8,2060.475,2053.8,4919.229166666678,167.30000000000018,2,65,359.069638890939,740.780150229676,494.8260893476085,439.7272841349095,29268.229121782246,381.710511338737,2,65,10.3709635442699,16.553532840544,13.074235318730175,12.6862224450534,6.846413148187786,6.182569296274101,2,65,1.17145467747454,2.8744200741859,2.015300501687085,2.00766362754395,0.5051155314558025,1.7029653967113598,65,2
080.0 051.0,7,2015,212560.83,2245.33,32716.67,23.04,24662.08,463.18,10400,244.94,976083.33,4907.41,0,0,2166.67,0.4,101405.42,122.83,3250,4.97,26433.33,77.71,631366.67,111.25,0,0,470816.67,1941.25,14300,81.97,65216.67,1332.88,161850,260.19,0,0,703522.08,259.5,2166.67,24.89,13000,12.39,0,0,0,0,0,0,7.82119865343169,8.09593969969442,7.95721097963432,7.98497130472276,0.014783684053358608,0.2747410462627293,60,2,1.96975760462594,4.24936704982936,2.953179763226196,3.00690992368904,0.9168592504299867,2.2796094452034197,60,2,82.8461501107894,176.159577265596,123.25534204790779,125.624173064411,1543.09712928166,93.3134271548066,60,2,2228,2237.1,2232.32,2232.9,17.442,9.099999999999909,60,2,1989.9,2131.7,2069.14,2063.8,3564.2229999999868,141.79999999999973,2,60,343.190303721972,688.295762011604,508.0484207452234,458.28316469782,24172.45264945634,345.105458289632,2,60,10.6365548888962,16.09310398971,13.485064083020399,12.991643764989,5.600078425337863,5.456549100813799,2,60,1.2525544024406,2.73503545817496,1.8885565310685921,1.91976683049992,0.3864246362051118,1.4824810557343602,60,2
080.0 051.0,7,2019,3869.2,32.59,8509.51,7.34,5402.28,59.69,1642.59,52.91,90634.22,372.98,401.52,41.79,0,0,10950.57,17.97,0,0,15805.32,43.36,6063.88,156.85,365.02,0.08,8468.44,89.23,474.52,1.64,1861.6,8.83,12410.65,88.09,365.02,0.11,4051.71,1.54,438.02,10.7,2705.7,1.85,0,0,4015.21,1.9,0,0,7.99340201215312,7.99340201215312,7.99340201215312,7.99340201215312,NA,0,2,2,3.15137777538603,3.15137777538603,3.15137777538603,3.15137777538603,NA,0,2,2,131.198966229365,131.198966229365,131.198966229365,131.198966229365,NA,0,2,2,2248,2248,2248,2248,NA,0,2,2,2070.4,2070.4,2070.4,2070.4,NA,0,2,2,452.201408407444,452.201408407444,452.201408407444,452.201408407444,NA,0,2,2,12.7084602783334,12.7084602783334,12.7084602783334,12.7084602783334,NA,0,2,2,2.01440973983231,2.01440973983231,2.01440973983231,2.01440973983231,NA,0,2,2
080.0 051.0,7,2020,3961.66,16.02,7923.33,8.39,2659.97,75.65,3684.35,123.1,130565.12,664.44,113.19,146.57,565.95,1.53,50992.27,72.75,565.95,0.48,18110.46,34.81,56.6,3.94,56.6,0.66,57387.53,216.94,622.55,7.18,3395.71,9.04,20940.22,75.95,3452.31,5.01,39616.64,23.23,1811.05,25.04,1245.09,1.17,0,0,5093.57,4.43,0,0,7.92823566787464,7.92823566787464,7.92823566787464,7.92823566787464,NA,0,1,1,2.67980112179773,2.67980112179773,2.67980112179773,2.67980112179773,NA,0,1,1,111.592390884604,111.592390884604,111.592390884604,111.592390884604,NA,0,1,1,2245,2245,2245,2245,NA,0,1,1,2099.4,2099.4,2099.4,2099.4,NA,0,1,1,534.245523926946,534.245523926946,534.245523926946,534.245523926946,NA,0,1,1,13.9141430299281,13.9141430299281,13.9141430299281,13.9141430299281,NA,0,1,1,1.70987805564199,1.70987805564199,1.70987805564199,1.70987805564199,NA,0,1,1
080.0 051.0,8,2017,13240.35,59.31,957.71,0.95,10917.91,57.52,3208.33,80.96,125101,549.94,23.94,16.64,0,0,24182.2,30.54,0,0,24661.06,66.41,24014.6,13.56,0,0,1436.57,32.97,622.51,10.29,3136.5,22.71,5746.27,20.09,1197.14,2,5075.87,2.74,47.89,1.36,3351.99,2.73,0,0,3112.56,2.73,0,0,7.7900120333254,8.03504277648899,7.869673622089615,7.826819839272035,0.013138926090801945,0.2450307431635892,50,2,1.83894105339269,3.68710306999318,2.394417910759925,2.025813759826915,0.7712488414689505,1.8481620166004902,50,2,77.2353902825672,153.02120157507,100.07843785778519,85.0285797867518,1292.4481673612866,75.7858112925028,50,2,2227.5,2234.8,2231.05,2230.95,8.97666666666718,7.300000000000182,30,2,2023.4,2145.1,2106.875,2129.5,3295.062499999989,121.69999999999982,2,50,404.310537343177,745.151091005371,628.4804285188429,682.230042863412,25037.73119081464,340.840553662194,2,50,11.559714042232,16.573962069006,14.991341828547476,15.91584560147595,5.5674835043835875,5.014248026774,2,50,1.16899402382967,2.36886394888098,1.5289091293601325,1.28888927236494,0.3253065533839692,1.19986992505131,50,2
080.0 051.0,10,2020,5708.91,17.04,2594.96,1.42,1349.38,10.09,31.14,2.48,150663.26,546.21,0,0,0,0,30698.35,41.74,0,0,12481.75,33.29,78912.67,13.07,0,0,1037.98,5.06,129.75,7.95,1037.98,9,2594.96,5.77,1582.92,1.23,15050.76,8.66,0,0,1037.98,1.55,0,0,1063.93,0.43,0,0,8.06731891189056,8.06731891189056,8.06731891189056,8.06731891189056,NA,0,1,1,4.02764735298453,4.02764735298453,4.02764735298453,4.02764735298453,NA,0,1,1,167.136439173459,167.136439173459,167.136439173459,167.136439173459,NA,0,1,1,2244.5,2244.5,2244.5,2244.5,NA,0,1,1,2011.4,2011.4,2011.4,2011.4,NA,0,1,1,371.967540211263,371.967540211263,371.967540211263,371.967540211263,NA,0,1,1,10.9946856019974,10.9946856019974,10.9946856019974,10.9946856019974,NA,0,1,1,2.59205936927908,2.59205936927908,2.59205936927908,2.59205936927908,NA,0,1,1
080.0 051.0,11,2014,3615,25.69,1500,1.42,3405,41.79,15,1,118635,583.82,15,4.57,2700,0.45,20250,59.14,450,0.32,14400,22.2,9810,18.85,15,0.05,615,62.12,1530,18.53,900,3.99,1200,3.18,1800,5.33,2400,3.56,2250,18.9,8130,16.84,0,0,900,0.59,0,0,7.96053048224531,8.02646295254808,7.9937351421656455,7.993973566934596,0.0013153518279510011,0.06593247030277016,51,2,2.77461160885405,3.5956622390653,3.1882433141226025,3.19134970428553,0.20185271043475064,0.8210506302112499,64,2,116.606101480063,149.206330381044,133.12039835157825,133.334580772603,326.75007919728614,32.60022890098101,64,2,2221.4,2232.8,2227.025,2226.95,40.04250000000038,11.400000000000091,51,2,2027.1,2066.4,2046.25,2045.75,472.55000000000086,39.30000000000018,2,64,413.403394961188,485.071914325357,448.0932925715687,446.948930499865,1536.4000399923004,71.66851936416901,2,51,11.7284094290404,13.5019635839323,12.596259059581374,12.5773316126764,0.9636562727931913,1.7735541548918992,2,64,1.7689909330928,2.30877372114704,2.0414339660243823,2.043985604928845,0.08723513039364424,0.5397827880542398,64,2
