 Extracted on 13-Apr-2025 Mark Ohman lab SIO 
Station values of  bryozoan_larvae  Day + Night Line 80 and Line 90 All Cruises
Cruise,Station,Line,"Cruise mid-date","Station date","Local time (PST)","Day or Night","Abundance (No. per m2)","Estimated C Biomass (mgC m-2)"
"200907M2","   28.00","   90.00","2009-07-23","2009-07-20","22:30",Night,"21934.07",   18.87
"200907M2","   80.00","   80.00","2009-07-23","2009-07-27","01:02",Night, 1244.39,    1.47
"200907M2","   70.00","   80.00","2009-07-23","2009-07-27",18:49,Day, 1759.83,    1.74
"200907M2","   60.00","   80.00","2009-07-23","2009-07-27",12:36,Day," 4044.76","    6.20"
"200907M2","   55.00","   80.00","2009-07-23","2009-07-27","08:59",Day, 9537.67,"    8.70"
"200907M2","   51.00","   80.00","2009-07-23","2009-07-27","04:36",Day," 8670.25",    6.81
"200907M2","  100.00","   80.00","2009-07-23","2009-07-28","15:20",Day,"    0.00","    0.00"
"200907M2","   90.00","   80.00","2009-07-23","2009-07-28","06:56",Day," 6663.50","    5.02"
"200911NH","  120.00","   90.00","2009-11-14","2009-11-09",22:25,Night,  757.29,"    0.78"
"200911NH","  110.00","   90.00","2009-11-14","2009-11-10","04:45",Night,"    0.00","    0.00"
"200911NH","  100.00","   90.00","2009-11-14","2009-11-10",13:16,Day,"    0.00","    0.00"
"200911NH","   90.00","   90.00","2009-11-14","2009-11-10",19:38,Night, 1765.94,    1.45
"200911NH","   53.00","   90.00","2009-11-14","2009-11-11","20:17",Night," 2216.01",    2.54
"200911NH","   80.00","   90.00","2009-11-14","2009-11-11","02:07",Night, 1122.14,    1.18
"200911NH","   70.00","   90.00","2009-11-14","2009-11-11","07:27",Day, 5844.66,    6.54
"200911NH","   60.00","   90.00","2009-11-14","2009-11-11",15:11,Day, 2388.56,    2.95
"200911NH","   45.00","   90.00","2009-11-14","2009-11-12","01:57",Night, 3631.59,    4.36
"200911NH","   28.00","   90.00","2009-11-14","2009-11-12","16:02",Day,  619.48,"    0.58"
"200911NH","   30.00","   90.00","2009-11-14","2009-11-12",18:38,Night," 4766.08",    3.96
"200911NH","   35.00","   90.00","2009-11-14","2009-11-12","10:38",Day," 5089.73",    4.37
"200911NH","   37.00","   90.00","2009-11-14","2009-11-12","07:20",Day," 3064.21",    2.49
"200911NH","   70.00","   80.00","2009-11-14","2009-11-19","06:45",Day,"40211.37",   38.15
"200911NH","   90.00","   80.00","2009-11-14","2009-11-19",21:38,Night, 2384.91,    2.85
"200911NH","   80.00","   80.00","2009-11-14","2009-11-19",15:33,Day,"    0.00","    0.00"
"200911NH","  100.00","   80.00","2009-11-14","2009-11-20","05:41",Night,"    0.00","    0.00"
"201001NH","  100.00","   90.00","2010-01-22","2010-01-16","22:09",Night,  184.64,"    0.23"
"201001NH","  110.00","   90.00","2010-01-22","2010-01-16",15:42,Day," 1068.33",    1.42
"201001NH","  120.00","   90.00","2010-01-22","2010-01-16","07:36",Day,"  823.03","    0.97"
"201001NH","   90.00","   90.00","2010-01-22","2010-01-17","07:43",Day,"    0.00","    0.00"
"201001NH","   80.00","   90.00","2010-01-22","2010-01-17",15:17,Day," 1045.82",    1.11
"201001NH","   70.00","   90.00","2010-01-22","2010-01-17",21:42,Night," 2814.04",    3.23
"201001NH","   60.00","   90.00","2010-01-22","2010-01-18","04:54",Night,  681.88,"    0.44"
"201001NH","   53.00","   90.00","2010-01-22","2010-01-18","10:21",Day,"  210.18","    0.25"
"201001NH","   45.00","   90.00","2010-01-22","2010-01-18",15:56,Day,  533.49,"    0.46"
"201001NH","   37.00","   90.00","2010-01-22","2010-01-18","22:00",Night," 5466.90",    5.12
"201001NH","   35.00","   90.00","2010-01-22","2010-01-19","01:39",Night," 3306.80","    3.00"
"201001NH","   30.00","   90.00","2010-01-22","2010-01-19","06:44",Day,  964.54,"    0.75"
"201001NH","   28.00","   90.00","2010-01-22","2010-01-19","09:36",Day,  159.69,"    0.12"
"201001NH","   51.00","   80.00","2010-01-22","2010-01-27","21:40",Night," 4221.03",    2.87
"201001NH","   55.00","   80.00","2010-01-22","2010-01-27","02:20",Night," 2361.07",    1.38
"201001NH","   60.00","   80.00","2010-01-22","2010-01-28","06:22",Day, 6322.54,    3.54
"201001NH","   80.00","   80.00","2010-01-22","2010-01-28","19:05",Night," 1146.05","    1.06"
"201001NH","   70.00","   80.00","2010-01-22","2010-01-28",12:49,Day,"    0.00","    0.00"
"201001NH","  100.00","   80.00","2010-01-22","2010-01-29","10:25",Day," 1027.94",    1.43
"201001NH","   90.00","   80.00","2010-01-22","2010-01-29","03:54",Night,   17.56,"    0.01"
"201004MF","  120.00","   90.00","2010-05-07","2010-04-29","20:48",Night,"  718.08","    0.76"
"201004MF","   80.00","   90.00","2010-05-07","2010-04-30","20:39",Night,  329.86,"    0.27"
"201004MF","   90.00","   90.00","2010-05-07","2010-04-30",14:12,Day,"  120.78","    0.07"
"201004MF","   45.00","   90.00","2010-05-07","2010-05-01",19:14,Day," 1900.06","    2.30"
"201004MF","   53.00","   90.00","2010-05-07","2010-05-01",14:23,Day, 1953.87,"    2.04"
"201004MF","   70.00","   90.00","2010-05-07","2010-05-01","04:50",Day,  358.48,"    0.41"
"201004MF","   37.00","   90.00","2010-05-07","2010-05-02","00:17",Night,  551.74,"    0.52"
"201004MF","   28.00","   90.00","2010-05-07","2010-05-02","10:07",Day,  617.35,"    0.38"
"201004MF","   35.00","   90.00","2010-05-07","2010-05-02","03:08",Night, 2253.85,    1.89
"201004MF","   30.00","   90.00","2010-05-07","2010-05-02","07:27",Day,"  810.75","    0.68"
"201004MF","   60.00","   90.00","2010-05-07","2010-05-03",23:33,Night,"    0.00","    0.00"
"201004MF","   80.00","   80.00","2010-05-07","2010-05-14","23:05",Night,  589.75,"    0.50"
"201004MF","   70.00","   80.00","2010-05-07","2010-05-14",15:44,Day,"  460.81","    0.51"
"201004MF","   90.00","   80.00","2010-05-07","2010-05-15","04:36",Day,  233.54,"    0.30"
"201004MF","   60.00","   80.00","2010-05-07","2010-05-16",18:29,Day," 1609.57",    2.14
"201004MF","   55.00","   80.00","2010-05-07","2010-05-16","22:20",Night," 5982.00","    7.03"
"201008NH","  120.00","   90.00","2010-08-08","2010-08-03","00:01",Night,"    0.00","    0.00"
"201008NH","   90.00","   90.00","2010-08-08","2010-08-03",21:53,Night,"  303.92","    0.36"
"201008NH","  100.00","   90.00","2010-08-08","2010-08-03",13:27,Day,"    0.00","    0.00"
"201008NH","  110.00","   90.00","2010-08-08","2010-08-03","05:48",Day,"    0.00","    0.00"
"201008NH","   80.00","   90.00","2010-08-08","2010-08-04","04:59",Day,"    0.00","    0.00"
"201008NH","   70.00","   90.00","2010-08-08","2010-08-04",11:33,Day,"  425.01","    0.54"
"201008NH","   60.00","   90.00","2010-08-08","2010-08-04","18:06",Day,  526.17,"    0.63"
"201008NH","   53.00","   90.00","2010-08-08","2010-08-04",23:26,Night,114843.44,"  118.60"
"201008NH","   28.00","   90.00","2010-08-08","2010-08-05","20:44",Night,23814.99,   18.93
"201008NH","   37.00","   90.00","2010-08-08","2010-08-05","11:05",Day,"23690.95",   25.48
"201008NH","   45.00","   90.00","2010-08-08","2010-08-05","05:12",Day,13253.66,   13.11
"201008NH","   35.00","   90.00","2010-08-08","2010-08-06",18:47,Day,"17830.29",   21.88
"201008NH","   51.00","   80.00","2010-08-08","2010-08-12",11:28,Day," 6923.02",    8.11
"201008NH","   60.00","   80.00","2010-08-08","2010-08-12",22:14,Night, 8784.23,"   10.04"
"201008NH","   55.00","   80.00","2010-08-08","2010-08-12",16:14,Day, 3529.49,    3.34
"201008NH","   90.00","   80.00","2010-08-08","2010-08-13","20:06",Night,"    0.00","    0.00"
"201008NH","   80.00","   80.00","2010-08-08","2010-08-13","11:50",Day,"    0.00","    0.00"
"201008NH","   70.00","   80.00","2010-08-08","2010-08-13","05:12",Day," 5200.99",    7.77
"201008NH","  100.00","   80.00","2010-08-08","2010-08-14","02:53",Night,"    0.00","    0.00"
"201011NH","  120.00","   90.00","2010-11-05","2010-10-31",23:26,Night,"    0.00","    0.00"
"201011NH","   90.00","   90.00","2010-11-05","2010-11-01",21:24,Night,"    0.00","    0.00"
"201011NH","  110.00","   90.00","2010-11-05","2010-11-01","05:44",Day,  295.32,"    0.18"
"201011NH","  100.00","   90.00","2010-11-05","2010-11-01",12:29,Day,"    0.00","    0.00"
"201011NH","   80.00","   90.00","2010-11-05","2010-11-02","05:46",Day,"    0.00","    0.00"
"201011NH","   60.00","   90.00","2010-11-05","2010-11-02",18:51,Night, 5689.35,    4.11
"201011NH","   70.00","   90.00","2010-11-05","2010-11-02",12:17,Day," 3084.28",    2.94
"201011NH","   53.00","   90.00","2010-11-05","2010-11-03","01:34",Night," 1282.04","    1.00"
"201011NH","   37.00","   90.00","2010-11-05","2010-11-03","10:54",Day,"21675.08","   14.70"
"201011NH","   35.00","   90.00","2010-11-05","2010-11-03",13:47,Day,"34902.37",   27.33
"201011NH","   30.00","   90.00","2010-11-05","2010-11-03","18:20",Night,15889.79,   13.63
"201011NH","   28.00","   90.00","2010-11-05","2010-11-03",22:54,Night,"51975.40",   35.17
"201011NH","   51.00","   80.00","2010-11-05","2010-11-09",18:42,Night," 8171.05",    7.27
"201011NH","   70.00","   80.00","2010-11-05","2010-11-10","08:57",Night," 3390.81",    4.16
"201011NH","   60.00","   80.00","2010-11-05","2010-11-10","02:30",Night, 2758.88,"    3.04"
"201011NH","   80.00","   80.00","2010-11-05","2010-11-10","17:08",Night, 5124.87,    5.87
"201011NH","   90.00","   80.00","2010-11-05","2010-11-11","08:46",Night,"  630.79","    0.68"
"201101NH","  120.00","   90.00","2011-01-21","2011-01-16","10:11",Night,"    0.00","    0.00"
"201101NH","  110.00","   90.00","2011-01-21","2011-01-16","17:30",Night,"    0.00","    0.00"
"201101NH","   80.00","   90.00","2011-01-21","2011-01-17",18:42,Night,  382.76,"    0.46"
"201101NH","  100.00","   90.00","2011-01-21","2011-01-17","01:57",Night,"  190.80","    0.25"
"201101NH","   90.00","   90.00","2011-01-21","2011-01-17","07:43",Night,"    0.00","    0.00"
"201101NH","   45.00","   90.00","2011-01-21","2011-01-18","21:40",Night,18414.32,   19.44
"201101NH","   53.00","   90.00","2011-01-21","2011-01-18",15:51,Night," 5615.60",    6.93
"201101NH","   60.00","   90.00","2011-01-21","2011-01-18","10:12",Night, 3384.82,    2.61
"201101NH","   70.00","   90.00","2011-01-21","2011-01-18","02:46",Night, 2789.83,    3.66
"201101NH","   28.00","   90.00","2011-01-21","2011-01-19",13:59,Night," 2408.05",    1.86
"201101NH","   30.00","   90.00","2011-01-21","2011-01-19","11:05",Night, 9543.75,"   10.48"
"201101NH","   35.00","   90.00","2011-01-21","2011-01-19","06:49",Night,"10715.09",   13.53
"201101NH","   37.00","   90.00","2011-01-21","2011-01-19","03:49",Night, 3451.84,    3.62
"201101NH","   60.00","   80.00","2011-01-21","2011-01-25","18:06",Night,"10399.45","    8.03"
"201101NH","   55.00","   80.00","2011-01-21","2011-01-25",13:54,Night," 9024.71",    8.15
"201101NH","   51.00","   80.00","2011-01-21","2011-01-25","10:23",Night,19179.58,   18.22
"201101NH","   80.00","   80.00","2011-01-21","2011-01-26","07:21",Night, 1193.21,    1.17
"201101NH","   90.00","   80.00","2011-01-21","2011-01-26",15:38,Night, 3783.48,    4.98
"201101NH","  100.00","   80.00","2011-01-21","2011-01-26",22:21,Night, 2924.58,    4.39
"201101NH","   70.00","   80.00","2011-01-21","2011-01-26","00:54",Night,"  710.00","    0.92"
"201104SH","  120.00","   90.00","2011-04-18","2011-04-13",21:53,Night, 1131.67,    1.45
"201104SH","   90.00","   90.00","2011-04-18","2011-04-14",17:37,Night,  894.11,"    0.61"
"201104SH","  100.00","   90.00","2011-04-18","2011-04-14","11:10",Night,"    0.00","    0.00"
"201104SH","  110.00","   90.00","2011-04-18","2011-04-14","04:03",Night,   51.93,"    0.06"
"201104SH","   70.00","   90.00","2011-04-18","2011-04-15",12:45,Night, 3981.79,"    4.80"
"201104SH","   80.00","   90.00","2011-04-18","2011-04-15","05:42",Night,   34.32,"    0.05"
"201104SH","   60.00","   90.00","2011-04-18","2011-04-15","19:07",Night, 2376.86,"    2.60"
"201104SH","   53.00","   90.00","2011-04-18","2011-04-16","05:30",Night, 1831.53,    4.54
"201104SH","   45.00","   90.00","2011-04-18","2011-04-16",11:19,Night," 4086.92",    5.61
"201104SH","   37.00","   90.00","2011-04-18","2011-04-16","17:30",Night," 5601.44",    6.54
"201104SH","   35.00","   90.00","2011-04-18","2011-04-16",22:32,Night," 4084.37",    5.51
"201104SH","   30.00","   90.00","2011-04-18","2011-04-17","03:54",Night, 5628.37,    6.68
"201104SH","   28.00","   90.00","2011-04-18","2011-04-17","06:35",Night," 3830.04",    5.81
"201104SH","   51.00","   80.00","2011-04-18","2011-04-23","01:54",Night,"    0.00","    0.00"
"201104SH","   55.00","   80.00","2011-04-18","2011-04-23","05:32",Night, 1745.23,    1.55
"201104SH","   60.00","   80.00","2011-04-18","2011-04-23","10:12",Night," 4308.80",    7.97
"201104SH","   70.00","   80.00","2011-04-18","2011-04-23",16:18,Night,  872.61,    1.23
"201104SH","  100.00","   80.00","2011-04-18","2011-04-24",14:37,Night,"    0.00","    0.00"
"201104SH","   90.00","   80.00","2011-04-18","2011-04-24","07:21",Night,"   10.10","    0.01"
"201104SH","   80.00","   80.00","2011-04-18","2011-04-24","02:30",Night," 2099.22",    2.93
"201108NH","  120.00","   90.00","2011-08-04","2011-07-30",19:38,Night,  449.37,"    0.63"
"201108NH","  100.00","   90.00","2011-08-04","2011-07-31","10:27",Night,  963.31,    1.26
"201108NH","   90.00","   90.00","2011-08-04","2011-07-31",18:51,Night,  886.22,"    1.03"
"201108NH","  110.00","   90.00","2011-08-04","2011-07-31","01:54",Night,  378.23,"    0.47"
"201108NH","   53.00","   90.00","2011-08-04","2011-08-01",21:29,Night," 4318.10",    5.12
"201108NH","   60.00","   90.00","2011-08-04","2011-08-01",15:47,Night,"  781.07","    0.19"
"201108NH","   80.00","   90.00","2011-08-04","2011-08-01","02:06",Night," 1005.64",    1.23
"201108NH","   70.00","   90.00","2011-08-04","2011-08-01","07:32",Night,"20067.05",   21.96
"201108NH","   45.00","   90.00","2011-08-04","2011-08-02","03:31",Night, 1494.91,    2.99
"201108NH","   37.00","   90.00","2011-08-04","2011-08-02","12:06",Night,"12875.04",   14.65
"201108NH","   30.00","   90.00","2011-08-04","2011-08-02","20:51",Night, 5199.12,"    6.01"
"201108NH","   35.00","   90.00","2011-08-04","2011-08-02",15:56,Night, 5474.56,    5.51
"201108NH","   28.00","   90.00","2011-08-04","2011-08-02",23:55,Night,"    0.00","    0.00"
"201108NH","   51.00","   80.00","2011-08-04","2011-08-08",19:41,Night, 9848.68,   11.57
"201108NH","   60.00","   80.00","2011-08-04","2011-08-09","05:15",Night,"58720.00","   61.40"
"201108NH","   70.00","   80.00","2011-08-04","2011-08-09","12:00",Night," 1203.25",    1.46
"201108NH","   80.00","   80.00","2011-08-04","2011-08-09","20:53",Night,  789.83,"    0.80"
"201108NH","   55.00","   80.00","2011-08-04","2011-08-09","00:38",Night,12276.21,    8.68
"201108NH","  100.00","   80.00","2011-08-04","2011-08-10","08:42",Night,  777.98,"    0.97"
"201108NH","   90.00","   80.00","2011-08-04","2011-08-10","03:24",Night,"    0.00","    0.00"
"201110NH","  110.00","   90.00","2011-10-25","2011-10-20","07:45",Day, 2142.16,    2.32
"201110NH","  100.00","   90.00","2011-10-25","2011-10-20",16:43,Day,  357.36,"    0.40"
"201110NH","  120.00","   90.00","2011-10-25","2011-10-20","01:45",Night,"    0.00","    0.00"
"201110NH","   60.00","   90.00","2011-10-25","2011-10-21","20:28",Night," 5651.03",    6.79
"201110NH","   90.00","   90.00","2011-10-25","2011-10-21","00:51",Night,"    0.00","    0.00"
"201110NH","   80.00","   90.00","2011-10-25","2011-10-21","06:20",Day,  214.22,"    0.20"
"201110NH","   70.00","   90.00","2011-10-25","2011-10-21","14:01",Day,  472.13,"    0.50"
"201110NH","   37.00","   90.00","2011-10-25","2011-10-22",16:25,Day,12298.69,   11.77
"201110NH","   35.00","   90.00","2011-10-25","2011-10-22",19:25,Night,11398.27,"   13.50"
"201110NH","   53.00","   90.00","2011-10-25","2011-10-22","03:04",Night," 2693.00",    2.96
"201110NH","   45.00","   90.00","2011-10-25","2011-10-22","07:23",Day," 6704.06",    5.76
"201110NH","   30.00","   90.00","2011-10-25","2011-10-22",23:28,Night, 7341.64,"    8.05"
"201110NH","   28.00","   90.00","2011-10-25","2011-10-23","02:01",Night," 7630.16","    8.06"
"201110NH","   51.00","   80.00","2011-10-25","2011-10-28",23:35,Night, 2354.53,"    2.03"
"201110NH","   70.00","   80.00","2011-10-25","2011-10-29",16:56,Day," 1025.98","    0.98"
"201110NH","   60.00","   80.00","2011-10-25","2011-10-29","10:20",Day, 1245.46,    1.49
"201110NH","   55.00","   80.00","2011-10-25","2011-10-29","03:06",Night, 4642.22,    3.82
"201110NH","   90.00","   80.00","2011-10-25","2011-10-30","08:53",Day, 1175.15,    1.22
"201110NH","   80.00","   80.00","2011-10-25","2011-10-30","00:56",Night," 2307.99",    2.14
"201110NH","  100.00","   80.00","2011-10-25","2011-10-30",16:16,Day, 1138.29,    1.63
"201202NH","  120.00","   90.00","2012-02-04","2012-01-31","03:26",Night,  127.11,"    0.12"
"201202NH","  110.00","   90.00","2012-02-04","2012-01-31","09:47",Day,"  906.02","    1.06"
"201202NH","  100.00","   90.00","2012-02-04","2012-01-31","16:05",Day, 1826.34,    1.84
"201202NH","   80.00","   90.00","2012-02-04","2012-02-01","07:36",Day,  974.11,"    1.06"
"201202NH","   90.00","   90.00","2012-02-04","2012-02-01","00:38",Night," 1633.03",    1.68
"201202NH","   37.00","   90.00","2012-02-04","2012-02-02","15:20",Day," 4957.10",    5.71
"201202NH","   30.00","   90.00","2012-02-04","2012-02-02",22:39,Night, 5831.34,"    6.01"
"201202NH","   35.00","   90.00","2012-02-04","2012-02-02",18:29,Night," 1096.72",    1.17
"201202NH","   28.00","   90.00","2012-02-04","2012-02-03","00:58",Night,"    0.00","    0.00"
"201202NH","   55.00","   80.00","2012-02-04","2012-02-08","18:04",Day, 2928.86,    3.12
"201202NH","   60.00","   80.00","2012-02-04","2012-02-08","23:10",Night, 1415.55,    1.92
"201202NH","   51.00","   80.00","2012-02-04","2012-02-08",14:33,Day, 2752.84,    2.82
"201202NH","  100.00","   80.00","2012-02-04","2012-02-09",23:57,Night,  533.84,"    0.64"
"201202NH","   80.00","   80.00","2012-02-04","2012-02-09","11:50",Day, 1153.65,    1.42
"201202NH","   90.00","   80.00","2012-02-04","2012-02-09","18:06",Day," 2401.09",    2.75
"201202NH","   70.00","   80.00","2012-02-04","2012-02-09","05:15",Night,"    0.00","    0.00"
"201207OS","  120.00","   90.00","2012-07-18","2012-07-13","09:33",Day,"    0.00","    0.00"
"201207OS","  110.00","   90.00","2012-07-18","2012-07-13","17:06",Day,"    0.00","    0.00"
"201207OS","   80.00","   90.00","2012-07-18","2012-07-14",15:11,Day,11337.93,   12.42
"201207OS","   70.00","   90.00","2012-07-18","2012-07-14",22:27,Night,15881.21,   14.78
"201207OS","  100.00","   90.00","2012-07-18","2012-07-14","00:17",Night,  182.83,"    0.20"
"201207OS","   90.00","   90.00","2012-07-18","2012-07-14","06:20",Day,"  303.03","    0.34"
"201207OS","   60.00","   90.00","2012-07-18","2012-07-15","06:02",Day,  363.48,"    0.44"
"201207OS","   53.00","   90.00","2012-07-18","2012-07-15",11:41,Day," 8152.70",    9.35
"201207OS","   45.00","   90.00","2012-07-18","2012-07-15","17:30",Day,33311.86,"   42.02"
"201207OS","   37.00","   90.00","2012-07-18","2012-07-15","23:03",Night," 4307.58",    4.63
"201207OS","   28.00","   90.00","2012-07-18","2012-07-16","08:23",Day," 7999.80","    4.80"
"201207OS","   30.00","   90.00","2012-07-18","2012-07-16","06:17",Day," 2034.95",    2.49
"201207OS","   35.00","   90.00","2012-07-18","2012-07-16","01:59",Night,11937.69,   12.28
"201207OS","   55.00","   80.00","2012-07-18","2012-07-22",16:41,Day,28491.88,"   34.60"
"201207OS","   51.00","   80.00","2012-07-18","2012-07-22",11:48,Day,34482.38,   34.74
"201207OS","   80.00","   80.00","2012-07-18","2012-07-23","10:32",Day, 1252.74,    1.86
"201207OS","   90.00","   80.00","2012-07-18","2012-07-23","17:06",Day,"    0.00","    0.00"
"201207OS","   70.00","   80.00","2012-07-18","2012-07-23","03:58",Night, 9247.68,   11.18
"201207OS","   60.00","   80.00","2012-07-18","2012-07-23","03:58",Night,"14212.00",   15.15
"201207OS","  100.00","   80.00","2012-07-18","2012-07-24",23:15,Night,  543.21,"    0.80"
"201210NH","  120.00","   90.00","2012-10-28","2012-10-23","02:28",Night,  269.23,"    0.39"
"201210NH","   90.00","   90.00","2012-10-28","2012-10-23",23:12,Night,  278.68,"    0.34"
"201210NH","  100.00","   90.00","2012-10-28","2012-10-23",15:17,Day,"    0.00","    0.00"
"201210NH","  110.00","   90.00","2012-10-28","2012-10-23","07:34",Day,"    0.00","    0.00"
"201210NH","   70.00","   90.00","2012-10-28","2012-10-24",12:22,Day,  746.43,"    0.97"
"201210NH","   37.00","   90.00","2012-10-28","2012-10-26","19:50",Night," 2488.10","    2.10"
"201210NH","   35.00","   90.00","2012-10-28","2012-10-26",16:54,Day," 1105.26","    1.30"
"201210NH","   30.00","   90.00","2012-10-28","2012-10-26",11:37,Day,"    0.00","    0.00"
"201210NH","   28.00","   90.00","2012-10-28","2012-10-26","08:42",Day, 1666.75,    1.55
"201210NH","   45.00","   90.00","2012-10-28","2012-10-27","01:48",Night,"  500.00","    0.69"
"201210NH","   53.00","   90.00","2012-10-28","2012-10-27","06:11",Day," 1000.00",    1.24
"201210NH","   51.00","   80.00","2012-10-28","2012-10-31",23:59,Night," 1000.00","    0.67"
"201210NH","   55.00","   80.00","2012-10-28","2012-11-01","03:31",Night,"    0.00","    0.00"
"201210NH","   80.00","   80.00","2012-10-28","2012-11-01","22:03",Night,"    0.00","    0.00"
"201210NH","   70.00","   80.00","2012-10-28","2012-11-01","16:07",Day, 2386.36,    2.81
"201210NH","   60.00","   80.00","2012-10-28","2012-11-01","09:53",Day, 1953.49,    1.41
"201210NH","  100.00","   80.00","2012-10-28","2012-11-02","10:34",Day,"  666.70","    0.68"
"201210NH","   90.00","   80.00","2012-10-28","2012-11-02","04:16",Night, 1866.67,"    1.90"
"201301SH","  110.00","   90.00","2013-01-18","2013-01-14","19:00",Night,  494.12,"    0.53"
"201301SH","  120.00","   90.00","2013-01-18","2013-01-14",12:11,Day,"    0.00","    0.00"
"201301SH","  100.00","   90.00","2013-01-18","2013-01-15","01:09",Night," 1937.07",    2.38
"201301SH","   90.00","   90.00","2013-01-18","2013-01-15","06:15",Day,   71.15,"    0.10"
"201301SH","   80.00","   90.00","2013-01-18","2013-01-15",13:56,Day,"  190.42","    0.23"
"201301SH","   70.00","   90.00","2013-01-18","2013-01-15","20:05",Night,  477.27,"    0.60"
"201301SH","   37.00","   90.00","2013-01-18","2013-01-16","19:07",Night,"    0.00","    0.00"
"201301SH","   35.00","   90.00","2013-01-18","2013-01-16","22:09",Night, 5833.33,    6.55
"201301SH","   45.00","   90.00","2013-01-18","2013-01-16",12:33,Day, 2259.46,    1.95
"201301SH","   53.00","   90.00","2013-01-18","2013-01-16","07:12",Day," 1024.39","    0.81"
"201301SH","   60.00","   90.00","2013-01-18","2013-01-16","02:17",Night, 1235.29,"    1.50"
"201301SH","   30.00","   90.00","2013-01-18","2013-01-17","02:15",Night," 9606.00",    8.28
"201301SH","   28.00","   90.00","2013-01-18","2013-01-17","07:41",Day, 1714.29,    1.73
"201301SH","   60.00","   80.00","2013-01-18","2013-01-22","22:00",Night,"    0.00","    0.00"
"201301SH","   51.00","   80.00","2013-01-18","2013-01-22",14:19,Day," 3000.15",    1.91
"201301SH","   55.00","   80.00","2013-01-18","2013-01-22",17:46,Day,  995.24,    1.42
"201301SH","   90.00","   80.00","2013-01-18","2013-01-23","16:09",Day,  227.17,"    0.27"
"201301SH","   80.00","   80.00","2013-01-18","2013-01-23","10:14",Day,"    0.00","    0.00"
"201301SH","   70.00","   80.00","2013-01-18","2013-01-23","04:00",Night,"  780.00","    0.88"
"201301SH","  100.00","   80.00","2013-01-18","2013-01-23","22:09",Night,"    0.00","    0.00"
"201304SH","   28.00","   90.00","2013-04-15","2013-04-09",15:15,Day,"    0.00","    0.00"
"201304SH","   30.00","   90.00","2013-04-15","2013-04-09","12:40",Day," 1100.00","    1.02"
"201304SH","   35.00","   90.00","2013-04-15","2013-04-09","07:48",Day," 4209.74",    3.91
"201304SH","   45.00","   90.00","2013-04-15","2013-04-10",18:49,Day,  456.82,"    0.32"
"201304SH","  110.00","   90.00","2013-04-15","2013-04-13","03:15",Night,  714.89,"    0.88"
"201304SH","   90.00","   90.00","2013-04-15","2013-04-13",17:17,Day,"   90.22","    0.09"
"201304SH","   80.00","   90.00","2013-04-15","2013-04-13",23:33,Night,"  100.00","    0.15"
"201304SH","  100.00","   90.00","2013-04-15","2013-04-13","10:21",Day,"  266.09","    0.29"
"201304SH","   60.00","   90.00","2013-04-15","2013-04-14","14:01",Day,"  244.05","    0.28"
"201304SH","   53.00","   90.00","2013-04-15","2013-04-14","19:07",Day, 5175.24,    5.62
"201304SH","   70.00","   90.00","2013-04-15","2013-04-14","06:13",Day,"    0.00","    0.00"
"201304SH","   51.00","   80.00","2013-04-15","2013-04-20","00:18",Night,"    0.00","    0.00"
"201304SH","   80.00","   80.00","2013-04-15","2013-04-20",22:57,Night,  219.13,"    0.29"
"201304SH","   70.00","   80.00","2013-04-15","2013-04-20",14:48,Day,"  950.00",    1.21
"201304SH","   55.00","   80.00","2013-04-15","2013-04-20","03:49",Night," 2048.78","    2.50"
"201304SH","  100.00","   80.00","2013-04-15","2013-04-21","13:03",Day,"    0.00","    0.00"
"201304SH","   90.00","   80.00","2013-04-15","2013-04-21","05:50",Day,   93.33,"    0.10"
"201307NH","  120.00","   90.00","2013-07-15","2013-07-09","18:20",Day,"    0.00","    0.00"
"201307NH","  100.00","   90.00","2013-07-15","2013-07-10","06:09",Day,"    0.00","    0.00"
"201307NH","  110.00","   90.00","2013-07-15","2013-07-10","00:45",Night,"    0.00","    0.00"
"201307NH","   90.00","   90.00","2013-07-15","2013-07-10",15:36,Day, 1327.15,    1.33
"201307NH","   80.00","   90.00","2013-07-15","2013-07-10","22:05",Night,"  731.50","    0.86"
"201307NH","   60.00","   90.00","2013-07-15","2013-07-11",11:23,Day,"14734.50","   13.03"
"201307NH","   53.00","   90.00","2013-07-15","2013-07-11",16:21,Day," 8204.32","    7.08"
"201307NH","   70.00","   90.00","2013-07-15","2013-07-11","04:48",Day,"    0.00","    0.00"
"201307NH","   51.00","   80.00","2013-07-15","2013-07-16","02:46",Night," 7010.00",    7.59
"201307NH","   55.00","   80.00","2013-07-15","2013-07-16","06:09",Day," 4204.67",    3.27
"201307NH","   60.00","   80.00","2013-07-15","2013-07-16","10:27",Day," 5340.62",    4.21
"201307NH","   70.00","   80.00","2013-07-15","2013-07-16",16:34,Day," 2000.00",    2.63
"201307NH","   80.00","   80.00","2013-07-15","2013-07-16",22:43,Night,"  870.83",    1.27
"201307NH","  100.00","   80.00","2013-07-15","2013-07-17","10:52",Day,"    0.00","    0.00"
"201307NH","   90.00","   80.00","2013-07-15","2013-07-17","04:30",Day, 1393.33,    1.71
"201307NH","   28.00","   90.00","2013-07-15","2013-07-20",23:23,Night,"  160.00","    0.13"
"201307NH","   35.00","   90.00","2013-07-15","2013-07-21","05:55",Day," 4200.00",    4.45
