"","Station_ID","Depth","Date.cc","Date_Dec","TA_dtd","DIC_dtd","T_degC_dtd","pCO2in_dtd","RFin_dtd","pHin_dtd","CO3in_dtd","OmegaCAin_dtd","OmegaARin_dtd","Salnty_dtd","Lat_Dec","Lon_Dec","depth_bin","Depth_Trans","Date_Dec_cen"
"1","080.0 055.0",1,2009-01-01,2009,2227.46699654274,2018.6018637092,13.8519802150737,363.438444725825,11.6156772175011,8.07698972563324,151.723282283343,3.65684571836108,2.33681296762231,33.3488632604754,34.316666,-120.803333,"Surface",0.301029995663981,25.7890410958903
"2","080.0 055.0",1,2012-02-01,2012.08469945355,2233.24348760798,2024.45563031666,13.2478847765762,352.111048517527,11.6415232499097,8.08554264029327,151.299513983206,3.64353408599602,2.32588123521948,33.4334451136305,34.316667,-120.805,"Surface",0.301029995663981,28.8737405494421
"3","080.0 055.0",1,2013-07-01,2013.49589041096,2239.56151844938,2074.02647050185,12.5450597781414,453.525150209996,13.1783462550897,7.98655884622105,122.041379298615,2.92974872107997,1.8668230810877,33.6193425317765,34.32,-120.79787,"Surface",0.301029995663981,30.2849315068493
"4","080.0 055.0",1,2018-02-20,2018.13698630137,NA,2010.25563031666,15.0068847765762,NA,NA,NA,NA,NA,NA,33.5105451136305,34.31257,-120.81968,"Surface",0.301029995663981,34.9260273972602
"5","080.0 055.0",1,2019-11-20,2019.88493150685,2239.85379847163,2032.2354179137,15.2804067946576,417.05461570268,11.7778934558333,8.03686212336321,149.857094426441,3.60908809350046,2.31376909571697,33.6280746544001,34.3163,-120.80227,"Surface",0.301029995663981,36.6739726027397
"6","080.0 055.0",1,2020-07-20,2020.54918032787,2246.56151844938,2000.72647050185,15.8360597781414,319.24267820709,10.677850202948,8.11261587041097,173.409741195097,4.16989209260578,2.67645695131716,33.6595425317765,34.31702,-120.80202,"Surface",0.301029995663981,37.3382214237593
"7","080.0 055.0",2,2008-08-01,2008.58196721311,2241.07239977869,2009.72225793908,15.8125209202236,342.108123165388,10.9953690022178,8.08706547574811,164.537412103983,3.959582824293,2.54084305958895,33.5340401584258,34.321666,-120.811666,"Surface",0.477121254719662,25.371008309005
"8","080.0 055.0",2,2009-07-01,2009.49589041096,2243.26151844938,2047.52647050185,13.7380597781414,392.666856026673,12.1148759288768,8.03989081808182,140.915240825815,3.38549936697929,2.16245227590297,33.5596425317765,34.295,-120.831666,"Surface",0.477121254719662,26.2849315068493
"9","080.0 055.0",2,2011-01-01,2011,2235.46699654274,1998.2018637092,13.4319802150737,307.852390493072,10.8873852727198,8.14137859333891,169.759475560678,4.08902464225329,2.61060095436495,33.3728632604754,34.318333,-120.8,"Surface",0.477121254719662,27.7890410958903
"10","080.0 055.0",2,2011-04-01,2011.24657534247,2248.53264773277,2107.53339836672,11.8506277735804,526.572730513846,14.2821432677031,7.93006355267638,107.669457220539,2.58096892043908,1.64530902948454,33.7141477806298,34.318333,-120.803333,"Surface",0.477121254719662,28.0356164383561
"11","080.0 055.0",2,2011-08-01,2011.58082191781,2231.77239977869,2025.02225793908,13.6925209202236,357.380229907192,11.7043586534679,8.07043746548017,148.198423421476,3.56408747169947,2.2759557581265,33.4220401584258,34.315,-120.813333,"Surface",0.477121254719662,28.3698630136985
"12","080.0 055.0",2,2012-07-01,2012.49726775956,2249.26151844938,1985.32647050185,14.2380597781414,267.495084990592,10.2966461212148,8.17295263461662,184.464582492937,4.43254161798265,2.83501074326131,33.5966425317765,34.315,-120.798333,"Surface",0.477121254719662,29.2863088554532
"13","080.0 055.0",2,2013-01-01,2013,2223.76699654274,2024.8018637092,13.3959802150737,375.580950337862,11.9092865936932,8.06371977366761,145.365928684952,3.50363124834589,2.23680948779084,33.2973632604754,34.32,-120.80682,"Surface",0.477121254719662,29.7890410958903
"14","080.0 055.0",2,2013-04-01,2013.24657534247,2246.33264773277,2066.53339836672,12.7856277735804,418.370389983005,12.7286209821411,8.01703542340571,130.971029954014,3.14304218552116,2.00554820265618,33.5874477806298,34.31582,-120.8065,"Surface",0.477121254719662,30.0356164383561
"15","080.0 055.0",2,2013-11-01,2013.83287671233,2241.95379847163,2023.2354179137,14.4064067946576,381.079076492545,11.5078664189629,8.07325334896372,156.457614870686,3.76607884670985,2.4095753403209,33.5888746544001,34.31877,-120.80207,"Surface",0.477121254719662,30.621917808219
"16","080.0 055.0",2,2014-04-01,2014.24657534247,2237.93264773277,2076.83339836672,13.2676277735804,480.720398987676,13.3874319212382,7.96437419527991,119.719514401006,2.87357115980148,1.83549297507412,33.5626477806298,34.31628,-120.80113,"Surface",0.477121254719662,31.0356164383561
"17","080.0 055.0",2,2014-07-01,2014.49589041096,2242.86151844938,2001.72647050185,19.1460597781414,377.435858826133,10.7284576492683,8.05451460449872,171.782080780205,4.14537045630179,2.68125982668591,33.5613425317765,34.32035,-120.79869,"Surface",0.477121254719662,31.2849315068493
"18","080.0 055.0",2,2014-11-01,2014.83287671233,2238.05379847163,2010.0354179137,16.7904067946576,396.414900486029,11.2228020371079,8.05708146661277,163.284729035889,3.93967199852322,2.53446614923765,33.5089746544001,34.3165,-120.8009,"Surface",0.477121254719662,31.621917808219
"19","080.0 055.0",2,2015-04-01,2015.24657534247,2225.63264773277,2018.63339836672,14.3556277735804,366.644323185126,11.7311622605553,8.06347152716844,148.073263341343,3.56334394487809,2.27839037526952,33.2363477806298,34.31327,-120.79398,"Surface",0.477121254719662,32.0356164383561
"20","080.0 055.0",2,2015-07-01,2015.49589041096,2233.86151844938,1989.02647050185,18.7380597781414,358.129792548874,10.6261607766449,8.07163993556337,173.847157691652,4.1985089807914,2.71192705624135,33.3867425317765,34.31638,-120.80213,"Surface",0.477121254719662,32.2849315068493
"21","080.0 055.0",2,2016-01-20,2016.05191256831,2236.46699654274,2009.8018637092,14.8989802150737,347.286114551905,11.1339550211372,8.0957064319369,163.516695249996,3.93984095593326,2.52330699968107,33.4405632604754,34.31983,-120.8055,"Surface",0.477121254719662,32.8409536641964
"22","080.0 055.0",2,2016-04-20,2016.30054644809,2231.73264773277,2052.33339836672,13.2026277735804,NA,NA,NA,NA,NA,NA,33.3383477806298,34.31882,-120.80942,"Surface",0.477121254719662,33.0895875439778
"23","080.0 055.0",2,2016-07-20,2016.54918032787,2235.96151844938,2086.32647050185,12.8290597781414,509.761525115979,13.7804020870495,7.94348183116557,112.738123430057,2.70766118680587,1.72581390920095,33.5228425317765,34.31823,-120.80917,"Surface",0.477121254719662,33.3382214237593
"24","080.0 055.0",2,2016-11-20,2016.88524590164,2230.95379847163,2038.8354179137,14.4514067946576,434.123958867518,12.2306656751151,8.0196153370072,139.605311745924,3.36491558823289,2.15199254295677,33.4095746544001,34.31717,-120.8011,"Surface",0.477121254719662,33.6742869975296
"25","080.0 055.0",2,2017-01-20,2017.05205479452,2224.76699654274,2039.7018637092,14.1059802150737,420.399869552575,12.3380257681492,8.02062649661606,137.041355039464,3.30349750011153,2.11235452932907,33.3337632604754,34.32,-120.8,"Surface",0.477121254719662,33.8410958904108
"26","080.0 055.0",2,2019-07-20,2019.54794520548,2249.26151844938,1987.92647050185,15.0670597781414,283.132337505835,10.3391901213072,8.15345796381429,182.968577660165,4.39539089114669,2.81684198781711,33.7115425317765,34.31788,-120.80123,"Surface",0.477121254719662,36.3369863013697
"27","080.0 055.0",2,2020-10-20,2020.80054644809,2236.42051646689,2016.08511617275,16.7761435823247,412.076796758211,11.4124931209172,8.04255725048752,158.739825359137,3.83253909682063,2.46535385389376,33.4113007792477,34.31567,-120.80193,"Surface",0.477121254719662,37.5895875439778
"28","080.0 055.0",2.3,2017-04-20,2017.29863013699,2333.33264773277,2029.23339836672,13.6026277735804,227.934998701841,9.71198080840302,8.24610872793111,212.669319620294,5.1088777150352,3.26186219062287,33.5091477806298,34.3166,-120.80492,"Surface",0.518513939877887,34.0876712328766
"29","080.0 055.0",2.5,2019-04-20,2019.29863013699,2235.53264773277,2023.23339836672,14.5466277735804,363.098136256051,11.5807937388169,8.06801530734973,151.671454138006,3.6441873597685,2.33208709426012,33.4971477806298,34.32667,-120.79317,"Surface",0.544068044350276,36.0876712328766
"30","080.0 055.0",3,2009-03-01,2009.16164383562,2232.48425686854,2032.1621113995,13.3766641440963,372.368684922528,11.9487383909329,8.06183184262236,144.528098899597,3.47366082349467,2.21780058601233,33.3868816330631,34.32,-120.798333,"Surface",0.602059991327962,25.9506849315067
"31","080.0 055.0",3,2011-10-01,2011.74794520548,2232.72051646689,2011.48511617275,16.1191435823247,NA,NA,NA,NA,NA,NA,33.4070007792477,34.316667,-120.811667,"Surface",0.602059991327962,28.5369863013698
"32","080.0 055.0",3,2015-01-01,2015,2231.36699654274,2005.5018637092,16.5849802150737,370.611627716684,11.1149681119793,8.07063995447626,163.767427211463,3.95269788124623,2.5401912787728,33.3192632604754,34.31912,-120.80587,"Surface",0.602059991327962,31.7890410958903
"33","080.0 055.0",3,2015-11-20,2015.88493150685,2231.75379847163,2014.8354179137,16.4924067946576,411.355118562989,11.4946262249731,8.04173459649098,156.03431208054,3.76707359503754,2.4208396400243,33.3635746544001,34.3167,-120.80162,"Surface",0.602059991327962,32.6739726027397
"34","080.0 055.0",3,2017-08-20,2017.63287671233,2235.97239977869,1994.82225793908,15.5795209202236,317.012075416866,10.7351968671942,8.1121626237003,170.5359183961,4.10457124569499,2.63226084176266,33.4624401584258,34.3181,-120.80452,"Surface",0.602059991327962,34.4219178082192
"35","080.0 055.0",3,2017-11-20,2017.88493150685,2233.45379847163,2022.2354179137,15.3174067946576,406.289553732957,11.6672983493095,8.04658969332617,152.04501363718,3.66441825362028,2.34879725785982,33.4751746544001,34.31642,-120.80183,"Surface",0.602059991327962,34.6739726027397
"36","080.0 055.0",3,2018-04-20,2018.29863013699,2240.83264773277,2039.13339836672,13.0766277735804,366.469786102203,11.9597212464749,8.06472369011832,144.327522342054,3.46414770921449,2.21110202496822,33.5578477806298,34.31467,-120.80717,"Surface",0.602059991327962,35.0876712328766
"37","080.0 055.0",3,2018-06-20,2018.46575342466,2248.26430274402,2062.35369345886,12.5264301671483,406.466850441078,12.4842675838034,8.03156851327049,134.587953922103,3.22843985667461,2.05786740190272,33.666330046328,34.31677,-120.80163,"Surface",0.602059991327962,35.2547945205479
"38","080.0 055.0",3,2019-02-20,2019.13698630137,2235.14348760798,2032.15563031666,15.1358847765762,395.857135610755,11.7713576026591,8.04208851473433,148.561717945491,3.57632246640696,2.29233942824619,33.5714451136305,34.31217,-120.79233,"Surface",0.602059991327962,35.9260273972602
"39","080.0 055.0",3,2021-01-20,2021.05205479452,2231.76699654274,2069.6018637092,13.2919802150737,472.285247811162,13.172327061431,7.97558599594163,122.925766096885,2.95893155643585,1.88998929849762,33.5076632604754,34.31538,-120.8055,"Surface",0.602059991327962,37.8410958904108
"40","080.0 055.0",10,2011-10-01,2011.74794520548,2233.42051646689,2011.68511617275,15.9991435823247,396.228055138211,NA,NA,159.155555176665,3.83477221201017,2.46232770565728,33.4035007792477,34.316667,-120.811667,"8 - 13 m",1.04139268515823,28.5369863013698
"41","080.0 055.0",12,2015-11-20,2015.88493150685,2231.75379847163,2012.8354179137,16.4484067946576,406.35525479978,NA,NA,157.26745087475,3.79084345697838,2.43613088014158,33.3622746544001,34.3167,-120.80162,"8 - 13 m",1.11394335230684,32.6739726027397
"42","080.0 055.0",14.5,2016-04-20,2016.30054644809,2232.03264773277,2053.53339836672,13.1996277735804,NA,NA,NA,NA,NA,NA,33.3409477806298,34.31882,-120.80942,"14 - 20 m",1.19033169817029,33.0895875439778
"43","080.0 055.0",14.8,2019-04-20,2019.29863013699,2237.43264773277,2023.53339836672,14.5556277735804,360.252834008394,11.5395631109013,8.07065108648528,152.697711411889,3.66121464750417,2.34333975022077,33.4977477806298,34.32667,-120.79317,"14 - 20 m",1.19865708695442,36.0876712328766
"44","080.0 055.0",15,2013-01-01,2013,2223.16699654274,2028.3018637092,13.0699802150737,379.139990171653,12.0419939670887,8.05932419420859,142.650604727162,3.43014170300009,2.18886318533471,33.2876632604754,34.32,-120.80682,"14 - 20 m",1.20411998265592,29.7890410958903
"45","080.0 055.0",15,2013-04-01,2013.24657534247,2246.43264773277,2067.43339836672,12.7916277735804,420.664022749255,12.7576533249355,8.01446543772662,130.470223145708,3.12383865627188,1.99366164427035,33.5935477806298,34.31582,-120.8065,"14 - 20 m",1.20411998265592,30.0356164383561
"46","080.0 055.0",15,2013-07-01,2013.49589041096,2236.76151844938,2103.12647050185,11.6180597781414,544.337966987313,14.4817441587684,7.91712184959556,102.957245712713,2.46441115284032,1.56751706427572,33.6247425317765,34.32,-120.79787,"14 - 20 m",1.20411998265592,30.2849315068493
"47","080.0 055.0",15,2013-11-01,2013.83287671233,2241.75379847163,2036.6354179137,14.0054067946576,402.906426347247,11.8857057486833,8.05023820386662,147.654517473527,3.54491722155389,2.2662957895522,33.6017746544001,34.31877,-120.80207,"14 - 20 m",1.20411998265592,30.621917808219
"48","080.0 055.0",15,2015-04-01,2015.24657534247,2224.83264773277,2017.63339836672,14.3606277735804,365.956937496463,11.722238074178,8.06345409876579,148.152201759693,3.55731533285427,2.27491606745012,33.2391477806298,34.31327,-120.79398,"14 - 20 m",1.20411998265592,32.0356164383561
"49","080.0 055.0",15,2015-07-01,2015.49589041096,2231.86151844938,2002.42647050185,15.5770597781414,339.926811574374,11.0637867914631,8.08900904926858,162.687793748933,3.91016112410924,2.50700883407039,33.3452425317765,34.31638,-120.80213,"14 - 20 m",1.20411998265592,32.2849315068493
"50","080.0 055.0",15,2017-08-20,2017.63287671233,2236.27239977869,2030.22225793908,15.0485209202236,383.960211133075,11.7081321263503,8.04600192965809,148.258875403422,3.55951111733905,2.28008728438552,33.4686401584258,34.3181,-120.80452,"14 - 20 m",1.20411998265592,34.4219178082192
"51","080.0 055.0",15,2018-04-20,2018.29863013699,2224.93264773277,2046.43339836672,13.0766277735804,418.951237679678,12.6940901847104,8.01255286668537,129.879547172672,3.11063854419173,1.98614995591926,33.5561477806298,34.31467,-120.80717,"14 - 20 m",1.20411998265592,35.0876712328766
"52","080.0 055.0",15,2018-06-20,2018.46575342466,2248.16430274402,2061.65369345885,12.5254301671483,404.896892301498,12.4642873518877,8.03243998089037,134.915580441989,3.22931914797677,2.05874198912823,33.672830046328,34.31677,-120.80163,"14 - 20 m",1.20411998265592,35.2547945205479
"53","080.0 055.0",15,2020-07-20,2020.54918032787,2244.76151844938,2044.52647050185,14.1060597781414,388.865976386574,11.9585380079304,8.04297185521935,143.947237357911,3.44913884056379,2.2055788963394,33.6596425317765,34.31702,-120.80202,"14 - 20 m",1.20411998265592,37.3382214237593
"54","080.0 055.0",15,2020-10-20,2020.80054644809,2251.12051646689,2006.68511617275,16.7631435823247,369.854233968534,10.8828114465396,8.08750511744942,174.4486698472,4.20221187236341,2.70377033097302,33.4112007792477,34.31567,-120.80193,"14 - 20 m",1.20411998265592,37.5895875439778
"55","080.0 055.0",16,2016-01-20,2016.05191256831,2237.46699654274,2034.4018637092,14.7189802150737,393.427331427039,11.7958700223924,8.0475969858926,148.684033716248,3.5729333279449,2.28830857128974,33.4807632604754,34.31983,-120.8055,"14 - 20 m",1.23044892137827,32.8409536641964
"56","080.0 055.0",16,2016-07-20,2016.54918032787,2235.56151844938,2085.72647050185,12.8210597781414,508.578236133564,13.7717974020466,7.94366256925517,112.822426489426,2.70306464279916,1.72313832163846,33.5236425317765,34.31823,-120.80917,"14 - 20 m",1.23044892137827,33.3382214237593
"57","080.0 055.0",16,2017-11-20,2017.88493150685,2233.25379847163,2021.6354179137,15.2694067946576,404.47521810513,11.656739637044,8.04781713236314,152.258277413946,3.66119186014336,2.34681372950549,33.4704746544001,34.31642,-120.80183,"14 - 20 m",1.23044892137827,34.6739726027397
"58","080.0 055.0",19,2019-11-20,2019.88493150685,2237.05379847163,2054.7354179137,14.4974067946576,462.99278532705,12.5410866279869,7.99356163395802,133.686066768045,3.20858009683363,2.05332353920995,33.5984746544001,34.3163,-120.80227,"14 - 20 m",1.30102999566398,36.6739726027397
"59","080.0 055.0",20,2009-07-01,2009.49589041096,2235.06151844938,2127.22647050185,11.0880597781414,644.514093754993,15.6333866303399,7.85214920340925,88.4649646201895,2.11576093173214,1.34411627027481,33.5696425317765,34.295,-120.831666,"14 - 20 m",1.32221929473392,26.2849315068493
"60","080.0 055.0",20,2011-10-01,2011.74794520548,2235.02051646689,2009.78511617275,15.4691435823247,382.187452867223,11.3094448674609,8.07165129782149,161.121467496359,3.87301118501332,2.48420404192995,33.4250007792477,34.316667,-120.811667,"14 - 20 m",1.32221929473392,28.5369863013698
"61","080.0 055.0",20,2014-11-01,2014.83287671233,2236.95379847163,2009.9354179137,16.7994067946576,398.161663310149,11.2447937072963,8.05441325770295,162.562059502271,3.91028687707321,2.51614233760942,33.5083746544001,34.3165,-120.8009,"14 - 20 m",1.32221929473392,31.621917808219
