Date,Station_ID,Year_UTC,Month_UTC,Day_UTC,Latitude,Longitude,TA,DIC,Depth,CTDTEMP_ITS90,Salinity_PSS78
1984-04-25,103.0 090.0,1984,4,25,29.1663,-120.4286,NA,1994.2666666666667,10,NA,NA
1984-04-25,103.0 100.0,1984,4,25,28.8329,-121.0853,NA,1993.3,10,NA,NA
1984-04-25,106.7 100.0,1984,4,25,28.1921,-120.6443,NA,1994.4,10,NA,NA
1984-04-25,107.0 100.0,1984,4,25,28.1401,-120.6086,2245.7,1994.4,10,17.19,33.669
1984-06-08,106.7 100.0,1984,6,8,28.1921,-120.6443,2239.95,1993,11,NA,33.592
1984-06-08,107.0 100.0,1984,6,8,28.1401,-120.6086,2239.9,1993,11,17.46,33.592
1984-06-12,097.0 100.0,1984,6,12,29.8722,-121.8076,2228.8,1988,11,16.57,33.34
1984-06-12,100.0 100.0,1984,6,12,29.3526,-121.4453,2228.75,1987.9499999999998,11,NA,33.3395
1984-06-12,103.0 090.0,1984,6,12,29.1663,-120.4286,NA,1991.8333333333333,11,NA,NA
1984-06-12,103.0 100.0,1984,6,12,28.8329,-121.0853,2240.233333333333,1989.5,11,NA,33.509
1984-06-13,100.0 090.0,1984,6,13,29.6859,-120.7852,NA,1991.85,10,NA,NA
1984-06-16,096.7 090.0,1984,6,16,30.2575,-121.18,NA,NA,60,NA,NA
1984-06-16,096.7 100.0,1984,6,16,29.9241,-121.8439,NA,NA,10,NA,NA
1984-06-16,097.0 100.0,1984,6,16,29.8722,-121.8076,2218.2,1991.7,10,16.5,33.243
1984-06-17,090.0 120.0,1984,6,17,30.4179,-123.9989,2225.8,1990.8,10,16.13,33.273
1984-06-17,093.3 090.0,1984,6,17,30.8464,-121.5896,2231.4,NA,10,NA,NA
1984-06-17,093.3 100.0,1984,6,17,30.513,-122.2576,NA,NA,10,NA,NA
1984-06-22,090.0 070.0,1984,6,22,32.0846,-120.6387,NA,2000.8,11,15.25,33.556
1984-06-23,090.0 090.0,1984,6,23,31.4179,-121.99,NA,2011.6,11,NA,33.5325
1984-06-23,090.0 100.0,1984,6,23,31.0846,-122.662,2233.6,1999.4,10,NA,33.3395
1984-06-23,090.0 120.0,1984,6,23,30.4179,-123.9989,2234,1999.4,10,15.34,33.34
1984-07-08,090.0 100.0,1984,7,8,31.0846,-122.662,NA,1993.1999999999998,10,NA,NA
1984-07-08,093.3 090.0,1984,7,8,30.8464,-121.5896,NA,1990.15,10,NA,NA
