"","Estimate","Std. Error","z value","Pr(>|z|)"
"(Intercept)",-73.6569669048313,75.4455451077777,-0.976293123730616,0.328919226533457
"pH_mean",11.1192680521166,9.95070529918939,1.11743516844202,0.263808305175416
"OmegaAR_mean",-31.8801479462681,34.4747278961908,-0.924739653994213,0.35510134735822
"CO3_mean",-0.726871912023771,0.362647012315835,-2.004351028241,0.0450324712663863
"pH_mean:OmegaAR_mean",8.99690143634992,3.98299063161759,2.25883067987435,0.0238939193231851
