"","cluster","pH_mean","OmegaAR_mean","CO3_mean","calcifying_ratio"
"1",1,7.97734723238322,2.02499251820911,132.044632136061,0.0915730129874642
"2",2,7.87276759687729,1.54856882939026,101.880348497277,0.0568718107304785
"3",3,7.94034355687854,1.8616493823144,121.703812413161,0.0835806632095437
"4",4,7.91977465895592,1.77278903594196,116.053702764188,0.116423837369559
